concept_id,alias,priority
cake_work_object,cake,100
call,call,100
call_centre,call centre,100
call_centre,apel,94
call_centre,callcenter,94
call_centre,centrala,94
call_centre,centru,94
call_centre,desk,94
call_centre,ghiseu,94
call_centre,helpdesk,94
call_centre,helpline,94
call_centre,klienditeenindus,94
call_centre,telefonic,94
call_centre,telefonos,94
call_centre,ugyfelszolgalati,94
camera_work_object,camera,100
camp,camp,100
campaign_canvasser_work_object,campaign canvasser,100
campaign_industry,campaign,100
campus,campus,100
candle_work_object,candle,100
candy_work_object,candy,100
canning,canning,100
canva_good_work_object,canva good,100
capacity_knowledge_domain,capacity,100
capsule_work_object,capsule,100
car_knowledge_domain,car,90
car_product,car,100
care,care,100
care,bunastare,94
care,caring,94
care,hoolekanne,94
care,masaj,94
care,terapie,94
career_guidance_work_object,career guidance,100
cargo_vehicle_work_object,cargo vehicle,100
cargo_work_object,cargo,100
carpenter_work_object,carpenter,100
carpet_cleaner_work_object,carpet cleaner,100
carpet_handicraft_work_object,carpet handicraft,100
carpet_product,carpet,100
carpet_weaver_work_object,carpet weaver,100
carriage_work_object,carriage,100
case_work_object,case,100
casino_pit_boss_work_object,casino pit boss,100
casino_task,casino,100
cattle_pedicure_work_object,cattle pedicure,100
cattle_work_object,cattle,100
cell_industry,cell,100
cell_industry,celulă,94
cellar,cellar,100
cemetery_work_object,cemetery,100
center,center,100
central_bank,central bank,100
centre,centre,100
centrifuge_work_object,centrifuge,100
chain_work_object,chain,100
chairside_industry,chairside,100
chairside_industry,cabinet stomatologic,94
change_knowledge_domain,change,90
change_work_object,change,100
channel_channel,channel,100
chaplain_work_object,chaplain,100
chat_work_object,chat,100
chauffeur_industry,chauffeur,100
checkout_work_object,checkout,100
chemical,chemical,100
chemical,biochemical,94
chemical,chimic,94
chemical,chimica,94
chemical,keemia,94
chemical,kemiai,94
chemical,petrochemical,94
chemistry,chemistry,100
child,child,100
child,copil,94
child,gyermek,94
child,kid,94
child,laps,94
child,minor,94
child,minori,94
child,pediatric,94
child,pediatrie,94
child,teen,94
child,teenager,94
child,tineret,94
childcare_task,childcare,100
childcare_task,îngrijirea copiilor,94
children,children,100
