source_name,sub_family_node_id,sub_family_label,current_family_node_id,current_family_label,leaf_count,example_leaf_labels,review_action,override_family_node_id,override_family_label,review_note
esco_1_2_1,15123,Jewellery and precious-metal workers,15120,Handicraft workers,10,filigree maker|jewellery engraver|jeweller|precious stone setter|precious stone cutter|jewellery mounter|goldsmith|jewellery repairer,,,,
esco_1_2_1,15122,Musical instrument makers and tuners,15120,Handicraft workers,13,stringed musical instrument maker|harpsichord maker|musical instrument technician|instrument technician|guitar maker|piano maker|membranophone musical instruments maker|harp maker,,,,
esco_1_2_1,15124,Potters and related workers,15120,Handicraft workers,3,hand brick moulder|pottery and porcelain caster|production potter,,,,
esco_1_2_1,15121,Precision-instrument makers and repairers,15120,Handicraft workers,6,clock and watchmaker|optical instrument assembler|watch and clock repairer|optical instrument repairer|surgical instrument maker|precision instrument assembler,,,,
esco_1_2_1,15126,"Sign writers, decorative painters, engravers and etchers",15120,Handicraft workers,8,ceramic painter|glass engraver|decorative painter|glass painter|metal engraver|wood painter|sign maker|porcelain painter,,,,
esco_1_2_1,15216,Bus and tram drivers,15215,Heavy truck and bus drivers,3,bus driver|tram driver|trolley bus driver,,,,
esco_1_2_1,15217,Heavy truck and lorry drivers,15215,Heavy truck and bus drivers,9,fire service vehicle operator|aircraft fuel system operator|refuse vehicle driver|cargo vehicle driver|concrete pump operator|tow truck driver|live animal transporter|moving truck driver,,,,
esco_1_2_1,14707,Hotel managers,14706,Hotel and restaurant managers,3,rooms division manager|hospitality entertainment manager|accommodation manager,,,,
esco_1_2_1,14708,Restaurant managers,14706,Hotel and restaurant managers,1,restaurant manager,,,,
esco_1_2_1,14945,Computer network and systems technicians,14942,Information and communications technology operations and user support technicians,2,aviation data communications manager|ICT network technician,,,,
esco_1_2_1,14943,Information and communications technology operations technicians,14942,Information and communications technology operations and user support technicians,1,data centre operator,,,,
esco_1_2_1,14944,Information and communications technology user support technicians,14942,Information and communications technology operations and user support technicians,4,ICT help desk manager|ICT technician|ICT security technician|ICT help desk agent,,,,
esco_1_2_1,14946,Web technicians,14942,Information and communications technology operations and user support technicians,1,webmaster,,,,
esco_1_2_1,14696,Information and communications technology service managers,14695,Information and communications technology service managers,13,telecommunications manager|ICT documentation manager|digital transformation manager|chief technology officer|ICT information and knowledge manager|chief information officer|ICT project manager|ICT product manager,,,,
esco_1_2_1,14958,Data entry clerks,14956,Keyboard operators,1,data entry clerk,,,,
esco_1_2_1,14957,Typists and word processing operators,14956,Keyboard operators,1,typist,,,,
esco_1_2_1,14816,Judges,14814,Legal professionals,2,judge|supreme court judge,,,,
esco_1_2_1,14815,Lawyers,14814,Legal professionals,3,lawyer|prosecutor|corporate lawyer,,,,
